Title ID	Region	Name	PKG direct link	Content ID	Last Modification Date	RAP	Download .RAP file	File Size	SHA256
NPUH90066	US	Metal Gear Solid Peace Walker Demo	http://zeus.dl.playstation.net/cdn/UP0101/NPUH90066_00/0u7LH4PtOm3a4Mgp7exQUH6y7yf1cVw8PXGgfBeNIoqDoICSmsiDhuoqE2kFQEmXRWtOBCVakXqJawM1LNQS5jSS4bY6xlUfVDaHM.pkg	UP0101-NPUH90066_00-MGPEACEWALKRDEMO				108003376	
NPUG70089	US	SOCOM: Fireteam Bravo 3 Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUG70089_00/vjqX6LKCQFb3wjc3CVYbWWL8CvwOSQ84fYgqI29kkNyvYUdEXSewQPgl79psJHNPG33SbKHc5G05rI4h9NiilLUMcyiVGA09WflyI.pkg	UP9000-NPUG70089_00-FIRETEAMBRAVO3DM				244884704	
NPUH90067	US	Army of TWO: The 40th Day PSP Demo	http://zeus.dl.playstation.net/cdn/UP0006/NPUH90067_00/fM99h0kTjEVSLY9KAvdBSFnnSGETHpG8bke7JB240TioT2avhNo9mJUq8AdsFwrpWkmssMLeTELnKUDcjsqtLsnmKVywxGgAPwT5X.pkg	UP0006-NPUH90067_00-ARMYOFTWO40DDEMO				231705184	
NPUH90040	US	Star Wars Battlefront: Elite Squadron Demo	http://zeus.dl.playstation.net/cdn/UP1010/NPUH90040_00/SjOK7erOxocUpyejdtX6hTyrVPyroD0MC4sUN6CTmrhbLvysagnOc0sb9cI0jLJ9vfUGdtob9N8QLDtFa710EW707KLYd7Y9bv9ut.pkg	UP1010-NPUH90040_00-0000000000000001				75264304	
NPUG22850	US	Resistance: Retribution Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUG22850_00/fMjC68jUkUNG8C2LmNOd9HLF6C8uXxVYjvp7py1SyNVWlhiVukIwXbu4iG3bVNQeLtFItlL7DQYm11GO5g4OtvdxaN0mcHyb1XRJp.pkg	UP9000-NPUG22850_00-0000000000000000				190520400	
NPUG70003	US	SOCOM: Tactical Strike Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUG70003_00/kcahcB2lDDjNVbg7bvOLYuoEVp2MlPO1Ud5Jx2nbrjXBVti116OlypF7V91mFJ2c7mjncK76t9OAAcN81NFWcyCG78jU5eG9IgCNY.pkg	UP9000-NPUG70003_00-DEMO000000000000				440222896	
NPEG90002	EU	Logan’s Shadow Demo	http://zeus.dl.playstation.net/cdn/EP9000/NPEG90002_00/kbq1052FVE6MoylpQm7xjL8NLr2woxWC430qUXL1NKtWQji3hiETfPGr0jJPQkowKgeC00SloF877QgXf9ok4GIity4UkCHWgqu0n.pkg	EP9000-NPEG90002_00-LOGANSSHADOW1910				77721440	
NPEG90007	EU	echochrome Demo	http://zeus.dl.playstation.net/cdn/EP9000/NPEG90007_00/rfQnnr5pgrIyoUcEUehChWwSBRSMrAEVaWX3mjEFdJkPSjm3OUjgaQArp8Ls2T1sSVMavTuqwTcUE04G5Q0dTJYYmQHKTG53d9y8y.pkg	EP9000-NPEG90007_00-ECHOCHROME000001				53961152	
NPEG90003	EU	WipEout Pulse Demo	http://zeus.dl.playstation.net/cdn/EP9000/NPEG90003_00/djxEn8uHH2pTlFlM0fXCU5F9VdXcISaLyw2jmu8bLWpDuvCYjitoFxBKdrddptjJAGS6r3u5Fo9hCe2jBx2r5rYbDBeiCUI3r037G.pkg	EP9000-NPEG90003_00-WIPEOUTPULSEDEMO				15653200	
NPUH90098	US	Legends of War: Patton's C. PSP Demo	http://zeus.dl.playstation.net/cdn/UP4154/NPUH90098_00/NODtfobwLsHSBreeKsyekYBzdrlxsnmwDLSiIFgQTnGUKWXckKLqHJSMwuvlnnZnjCkLZWEMevkrOQRtqzLXGQsYkaNWTqHurLeqA.pkg	UP4154-NPUH90098_00-LEGENDSOFWARDEMO				81723952	
