Title ID	Region	Type	Name	PKG direct link	Content ID	Last Modification Date	RAP	Download .RAP file	File Size	SHA256
NPJG00034	JP	PSP	LocoRoco® -Midnight Carnival- 体験版	http://zeus.dl.playstation.net/cdn/JP9000/NPJG00034_00/OGaeWJ5U4GNM3SH9xwYqVf1Tr4dkQuqAPisX6uIvf7WdUNiscK9j2IarRt9AAHqEnB31mhUPv1YD0YIogEUipSRTee3iGlxfc3C9m.pkg	JP9000-NPJG00034_00-LOCOROCOMCGAME01				175270896	5b5356db4f3636a6f3b5147f4fb77c50131d04a413bae2ddb38e009b4505362d
NPJG00071	JP	PSP	100-Man Ton no Barabara	http://zeus.dl.playstation.net/cdn/JP9000/NPJG00071_00/oVkxs0hqt1cNd3MfMkmQKwBatyj2s7A7dUGKcgoQ82SMFeJexPehj2PM3VrEkUIWErXiotVLgUqJv1JFNXm5kXN2dPITHGamH7jN5.pkg	JP9000-NPJG00071_00-0000111122223333				200138608	0295a6d0e8acc1348d17d213960810796f04b612bd34d65b64790a8f17a4a7a4
NPJG00124	JP	PSP	Ore no Shikabane wo Koeteyuke	http://zeus.dl.playstation.net/cdn/JP9000/NPJG00124_00/XpnoSHHHuQiekuTvNvVqNdGBkuvyyDAbPFRWUjIWqSNYyldoaZVfxamudIokdlKswiktVZRUadrxQiFzaBZnMerFvHibmyHMZcJaX.pkg	JP9000-NPJG00124_00-ORESHIKAREMAKE00				467950800	e915b1c6b96e71836f7aa391e9bc09f6f5b7e666ec60b7fb82f62bb84da35b46
NPJG90022	JP	PSP	クランク＆ラチェット マル秘ミッション☆イグニッション 体験版	http://zeus.dl.playstation.net/cdn/JP9000/NPJG90022_00/lNc7NfpGF1Lm7oBB79fMSeuIjblD2jsCSMPren6CYvbVrfumj0A8YQ0uXfUFVdfcPaybHYaNhYaK77ENabHnT4iMbPbel2FDJ2iBs.pkg	JP9000-NPJG90022_00-SECRETAGENTCLANK				183351040	f64f180903e707d23cf2dd48b91f3385d0c332ec94ef4568d48ba0307a5f25af
NPJH00053	JP	PSP	バクマツ☆維新伝	http://zeus.dl.playstation.net/cdn/JP0048/NPJH00053_00/9AHyfAtEfOjt5y9DPPvOQQxTnYtytX9V7UDDMB31V1knTbkE4u42CYIFf8iqxRXY0YWOG3nUHj2JXsoGmJnWERX6k9ce78u7e4Kff.pkg	JP0048-NPJH00053_00-0000000000000001				25105392	d1a26bd76f1082dd277148ac2ed34646ef9140fcacd1d762eff3ff9245e527f3
NPJH00121	JP	PSP	探偵オペラ ミルキィホームズ 1.5 ～第６話「ビハインド・ザ・マスク」	http://zeus.dl.playstation.net/cdn/JP0540/NPJH00121_00/rOujqUNDbzykPfSOkPFcxrKGwZrvVIYkViCBbuywTCCTdSRkPhYNOKEvFBYQgnmoIMivxooUqGxWvbUkewFOOWiCwnizmWLBuICmn.pkg	JP0540-NPJH00121_00-0000000000000000				114876048	776afa5a2e4ef86e54a44b1fab1cc51dcba7329561b64287f9e70326b416edc2
NPJH90005	JP	PSP	インフィニットループ　-古城が見せた夢-　大容量体験版	http://zeus.dl.playstation.net/cdn/JP0404/NPJH90005_00/mQ7MkXEeAnkg5GgOQU3ky4aBvTUCStXg29kIpOalLuM83lwI7MqVpF9SMssaYFxWJODg90JhRi97MFjIXsm8IMj4t3plMx0VpF2Ay.pkg	JP0404-NPJH90005_00-PP00600000000001				124299920	59d3ac2ec802ce054e4bbbdc9f494fdc9520ea588fbefb4ece6a26ffeb899e40
NPJH90116	JP	PSP	クラシックダンジョン ～扶翼の魔装陣～　無料体験版＋追加コンテンツ	http://zeus.dl.playstation.net/cdn/JP0404/NPJH90116_00/P2gcFEe2F3tepPjfv2kQb6GJIET08lcQY36nWOEdOXJ3oHDk6XyDr6BxWShGTkwdRgvXwvf0SVtOHCMTybHGVBo1JMWfwh5elHR3k.pkg	JP0404-NPJH90116_00-CLDT100100000000				156097328	6571e162260eb328aa7bc20021a8ab3a4155e66e2b76b3eebab6a3f8a9e9405b
NPJH90278	JP	PSP	英雄伝説 碧の軌跡 無料版	http://zeus.dl.playstation.net/cdn/JP0425/NPJH90278_00/FGLMPhgqjfUSjHkOpWpaIjWyAEFsYjMvAWpFHnzhSubONkqTJQwrmbwRHivMgLgPLFidWSGVEnEatLLeeUoUnmurxKqaOoQwoBgpg.pkg	JP0425-NPJH90278_00-0001000100010001				460845904	
BLET70018	EU	PSP	Gotham City Impostors [Closed Beta]	MISSING	EP1018-BLET70018_00-IMPOSTORS0000000				0	
