Title ID	Region	Name	PKG direct link	zRIF	Content ID	Last Modification Date	File Size	SHA256	Required FW
PCSC00096	JP	SOUL SACRIFICE DELTA Theme(Yuru-illustration Ver.)	http://zeus.dl.playstation.net/cdn/JP9003/PCSC00096_00/eVvBTZQVRcaMtbIomMHqooElwbYHAwUIIrWdZXncsLMZizjnzwKPatxQaXDXGismQQZSpqkmPVCmkiSFoopxUJsxzdeQJOJtgkpHc.pkg	KO5ifR1dQ+d7BVgCHQAzxdIMZH+Ih6uvq6GJoVEw2EhDfP6z+iDIv3WZ4a/fSbtS3JpOK4/G+OAGAKo9FFQA	JP9003-PCSC00096_00-THEME1412SSD0001		3107200	997de124cb1a1f2f54dae051bcfd560212d21631e6d87baf8d2fbd8550cfa0d3	0
PCSG00480	JP	憂世ノ浪士	http://zeus.dl.playstation.net/cdn/JP0365/PCSG00480_00/JP0365-PCSG00480_00-CUSTOMTHEME00000_bg_1_b4bf8dd702e1fe2a17e37dc51442f91f362c6b0e.pkg	KO5ifR1dQ+d7BRgYm5lCbTGxANvvHBoc4u8b4uHq6wq2FJ//ynlvyApLl9gKZdgEzKk9cGA0xgc3AADp0hKl	JP0365-PCSG00480_00-CUSTOMTHEME00000		4346640	a0c589ff32afee6131ba51c4b659ac5fa6d0229b2b4d98eb0fe932e66cc85f25	0
PCSG00687	JP	Caligula -カリギュラ- スペシャルテーマ 6	http://zeus.dl.playstation.net/cdn/JP0536/PCSG00687_00/JP0536-PCSG00687_00-CALIGULATHEME006_bg_1_96b4bed8d079c91be5d17012cf4fe48af920ccb9.pkg	KO5ifR1dQ+d7BRiYGptBbTGzMAfZ7+zo4+ke6uMY4uHqC7TLDJ//OJYEvX637DRHLPf7965fpW6PxvjgBgC8eRWJ	JP0536-PCSG00687_00-CALIGULATHEME006		4819216	42a704b41d39ae7139b9364c09fc0003efbca815928eea62ed168e8de3c0a7f3	3.5
PCSG00557	JP	YORU NO NAI KUNI PlayStation(R)Plus Limited Theme	http://zeus.dl.playstation.net/cdn/JP0106/PCSG00557_00/JP0106-PCSG00557_00-DARKTHEPSPLUS000_bg_1_a19027eebffd6ed4e0eae2488d4a2d3411982b37.pkg	KO5ifR1dQ+d7BRgYGphBbTE1NQfZ7+IY5B3i4RoQHOATGgwyAw8o+bj8SmBvQ1Os3rlFvFKvVUZjfHADAKiwFNkA	JP0106-PCSG00557_00-DARKTHEPSPLUS000		838400	8e2ec49a9b12a2a335605e67bbef1534dd89f9f3d61bd004cab495c1337acca3	0
PCSG00681	JP	CRIMINAL GIRLS 2 theme	http://zeus.dl.playstation.net/cdn/JP0404/PCSG00681_00/JP0404-PCSG00681_00-CUSTOM000PSV0003_bg_1_29d17f5aba54beb947ec88f7cb1cf63f229f01dd.pkg	KO5ifR1dQ+d7BQBtNoHaYmZhCLLfOTQ4xN8XqDkgOAzkPHz+U9zqFVFmZhiqNVd//Wy9y+9GY3xwAwAvHBNt	JP0404-PCSG00681_00-CUSTOM000PSV0003		6286224	32c61d27a513e2ab476ca78377f8987c39fc2b40325e27d45c3d7e3933fe96c2	3.5
PCSG00702	JP	UTAWARERUMONO THEME	http://zeus.dl.playstation.net/cdn/JP0761/PCSG00702_00/JP0761-PCSG00702_00-UTAWARERUMONOTE2_bg_1_1afd7ef21c99234a9bf5d3c83c6af00550d203e9.pkg	KO5ifR1dQ+d7BRiYmxlCbTE3MALZHxriGO4Y5BoU6uvv5x/iaoTPf0XRjSlftuzes897LX+OwsPPozE+uAEA1bcWJwAA	JP0761-PCSG00702_00-UTAWARERUMONOTE2		2365312	4a46ec8339f8e977cc27e701d7497b75dd61124754c0a71d8cc75add868efb1d	0
PCSC00092	JP	PlayStation®Plusスペシャルテーマ3月分(PS Vita)	http://zeus.dl.playstation.net/cdn/JP9002/PCSC00092_00/JP9002-PCSC00092_00-PSPLUSTHEME15002_bg_1_1602ec2a2f714b2b6859a86bfff37c3f177d8cbc.pkg	KO5ifR1dQ+d7BVhCbQGZYmkEsj8gOMAnNDjEw9XX1dAUKIvPf+e1J81m+v2xsObjAzHDA68FR2N8cAMAy+cVkAAA	JP9002-PCSC00092_00-PSPLUSTHEME15002		3357936		0
PCSC00092	JP	PlayStation®Plusスペシャルテーマ9月分(PS Vita)	http://zeus.dl.playstation.net/cdn/JP9002/PCSC00092_00/JP9002-PCSC00092_00-PSPLUSTHEME15008_bg_1_c2a9067f661f58672fd212aa1ebd082533538241.pkg	KO5ifR1dQ+d7BVhCbQGZYmkEsj8gOMAnNDjEw9XX1dAU5Eg8YPWWdXNqxLy7LjYt5dhy58/p0Rgf3AAAwTkWJwAA	JP9002-PCSC00092_00-PSPLUSTHEME15008		3181056		3.5
PCSG00795	JP	Coven and Labyrinth of Refrain Theme	http://zeus.dl.playstation.net/cdn/JP0404/PCSG00795_00/JP0404-PCSG00795_00-THEME00000000003_bg_1_d053cfb21180a25220ee55a5c88d0946e5275392.pkg	KO5ifR1dQ+d7BQBtNoHaYm5pCrI/xMPV1xVhpzE+/0m1Ghz/ouQct+Aea+bVBXquozE+uAEAk4ETGgAA	JP0404-PCSG00795_00-THEME00000000003		4772928		3.5
PCSG00881	JP	YsⅧ Theme-SPECIAL EDITION-	http://zeus.dl.playstation.net/cdn/JP0425/PCSG00881_00/JP0425-PCSG00881_00-THEME20166PSPLUS_bg_1_82c2e265deec3f4a497c972788577cb4747116b1.pkg	KO5ifR1dQ+d7BRiYGJlCbbGwMATZH+Lh6utqZGBoZhYQHOATGozPf/+3LWfO+nEn8cfb6C4/lx8rRmN8cAMAzCoWxQAA	JP0425-PCSG00881_00-THEME20166PSPLUS		8115136		3.5
PCSG00687	JP	Caligula -カリギュラ- スペシャルテーマ 3	http://zeus.dl.playstation.net/cdn/JP0536/PCSG00687_00/JP0536-PCSG00687_00-CALIGULATHEME003_bg_1_e539399f9828893325cb6ee424a8257e876dbd7b.pkg	KO5ifR1dQ+d7BRiYGptBbTGzMAfZ7+zo4+ke6uMY4uHqC7TLGJ//tp6e/vB5u8yZ888OpFq9WtcyGuODGwAAmOYXPwAA	JP0536-PCSG00687_00-CALIGULATHEME003		5718752		3.5
PCSG00687	JP	Caligula -カリギュラ- スペシャルテーマ 2	http://zeus.dl.playstation.net/cdn/JP0536/PCSG00687_00/JP0536-PCSG00687_00-CALIGULATHEME002_bg_1_f615d5dde83d1a3246afe320c684fb63565da19d.pkg	KO5ifR1dQ+d7BRiYGptBbTGzMAfZ7+zo4+ke6uMY4uHqC7TLCJ//OticHvtVfLD/tFJmnmJ7T9VojA9uAADjYBRr	JP0536-PCSG00687_00-CALIGULATHEME002		5909616		3.5
PCSG00687	JP	Caligula -カリギュラ- スペシャルテーマ 1	http://zeus.dl.playstation.net/cdn/JP0536/PCSG00687_00/JP0536-PCSG00687_00-CALIGULATHEME001_bg_1_108170197166e548362f919ed5d5336dab8f31be.pkg	KO5ifR1dQ+d7BRiYGptBbTGzMAfZ7+zo4+ke6uMY4uHqC7TLEJ//lq89M1m7LGKb4WEp9U2WR/RHY3xwAwCPWxQ0	JP0536-PCSG00687_00-CALIGULATHEME001		4873328		3.5
PCSG00600	JP	『Fate/EXTELLA』  PS Plus加入者限定オリジナルテーマ	http://zeus.dl.playstation.net/cdn/JP0507/PCSG00600_00/JP0507-PCSG00600_00-00000000THEME002_bg_1_9a60c0d251b15a03bf2a8f8c1e02e0cc65dde7f7.pkg	KO5ifR1dQ+d7BQAtNYfaAnQYyH6YZSEerr5Au4zw+U92SayE8MPjTr0OR526K31ZR2N8cAMANR4SSgAA	JP0507-PCSG00600_00-00000000THEME002		2013600		3.5
PCSG00830	JP	討鬼伝２カスタムテーマ	http://zeus.dl.playstation.net/cdn/JP0106/PCSG00830_00/JP0106-PCSG00830_00-THEME16072800000_bg_1_52adaa3fa09158701894635026c517ee415821c4.pkg	KO5ifR1dQ+d7BRgYGphBbbEwBtsf4uHq62poZmBuZAG2FJ//pj+aEvbGPGHDk5n9hwTO9DiMxvjgBgDYKxUP	JP0106-PCSG00830_00-THEME16072800000		1120848		0
PCSG00671	JP	電撃PlayStation Vol.619付録  オリジナルテーマ（イースシリーズ）	http://zeus.dl.playstation.net/cdn/JP0117/PCSG00671_00/JP0117-PCSG00671_00-DENGEKIPSTHYS001_bg_1_99aa7d6835aea6a125207e22e79cca59d48f1d44.pkg	KO5ifR1dQ+d7BRgYGppDbTEzNwTZ7+Lq5+7q7RkQHOIRGQy0E5//IhvCbCI6K226Z1v8Pn5/KtdojA9uAAAEnhR/	JP0117-PCSG00671_00-DENGEKIPSTHYS001		6947856		3.5
PCSG00835	JP	電撃文庫 FIGHTING CLIMAX IGNITION オリジナルテーマ PS Vita	http://zeus.dl.playstation.net/cdn/JP0117/PCSG00835_00/JP0117-PCSG00835_00-DENGEKIFPSTHE001_bg_1_802dfd4e93c3565a1ea54e40e9fc32ecd3bc8e3c.pkg	KO5ifR1dQ+d7BRgYGppDbbEwNgXZ7+Lq5+7q7ekWEBziAbTLEJ//CtNvZP43PzBnxayCLT6f/4iPxvjgBgC+zxYk	JP0117-PCSG00835_00-DENGEKIFPSTHE001		3879632		3.5
PCSG00608	JP	[Limited Time Offer]TOKYO XANADU SAKURA Festival Theme	http://zeus.dl.playstation.net/cdn/JP0425/PCSG00608_00/JP0425-PCSG00608_00-THEME2016SPRINGF_bg_1_7e4621b1e296c98c83d735dc7cdb934ece555982.pkg	KO5ifR1dQ+d7BRiYGJlCbTEzsADZH+Lh6utqZGBoFhwQ5Onn7obPf56hO1PfsRyX+BRz9UfYgpmOozE+uAEAOpYVPAAA	JP0425-PCSG00608_00-THEME2016SPRINGF		8344032		3.5
PCSG00687	JP	Caligula -カリギュラ- スペシャルテーマ 4	http://zeus.dl.playstation.net/cdn/JP0536/PCSG00687_00/JP0536-PCSG00687_00-CALIGULATHEME004_bg_1_3db436b9ee34b0c17e0ccd62d80dbdb20789f7bb.pkg	KO5ifR1dQ+d7BRiYGptBbTGzMAfZ7+zo4+ke6uMY4uHqC7TLBJ//mN4cYF54bVnud6uqj3rTPaxHY3xwAwCrXhTh	JP0536-PCSG00687_00-CALIGULATHEME004		6528864		3.5
PCSG00656	JP	『ネットハイ』非リア充 Ver.	http://zeus.dl.playstation.net/cdn/JP0507/PCSG00656_00/JP0507-PCSG00656_00-TEMANETHIGH00000_bg_2_58da69e75502de3dbc55bd2418f4854d5f0e2609.pkg	KO5ifR1dQ+d7BQAtNYfaYmZqBrI/xNXX0c81xMPT3QNsKT7/Zb0M4D51OctC+MTHcNcT+5VGY3xwAwAZiBSP	JP0507-PCSG00656_00-TEMANETHIGH00000		4484000		3.5
