Title ID	Region	Name	Update Version	Required FW VERSION	PKG direct link	Last Modification Date	File Size	SHA256
PCSA00099	US	Tearaway Update 1.02	1.02	3	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSA00099/PCSA00099_T1/f2a71af035fdb37b/UP9000-PCSA00099_00-TEARAWAY00000000-A0102-V0100-c5f301287e2c62578325c57a80284b357b3bba5a-PE.pkg		11786768	c8dcc1977e2d4d52b502951c6ff4df0c4bbcfd321cdaf081a8eef47c6cbfdadd
PCSG00024	JP	Monster Radar Update 1.04	1.04	1.66	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00024/PCSG00024_T10/b316ce4fe746f8fd/JP0609-PCSG00024_00-MONSTERRADAR0000-A0104-V0101-405fc6600da2467d4ce9280315ae184cbbb40dbb-PE.pkg		35673872	7b345b8d60956bdf7250cbb9f37a340dd325c3bfdae21252b9b69db85f0feaf2
PCSG00031	JP	Pro Yakyuu Spirits 2012 Update 1.04	1.04	1.66	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00031/PCSG00031_T14/9408dbd1ce01e9cf/JP0101-PCSG00031_00-PROBBSPIRITS2012-A0104-V0105-de4cb93129a23a430aca2444b8131a85ec20fc67-PE.pkg		134829168	3665a3245886a97aeed87f70a948e2baa648526b65f27930f3168515b89c1005
PCSG00047	JP	TOEIC Test: Jissen Tokkun Update 1.02	1.02	1.66	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00047/PCSG00047_T2/4e7a4645590708e7/JP0007-PCSG00047_00-M5NR001TOEICMAIN-A0102-V0100-35d7e93b946333f84b4d9baec3ff6b64da7849b6-PE.pkg		39802496	b6e9cf7f2e863823785c3474600b90ba2fe13a5bcc44a8f512e4486c8ce4ac24
PCSG00064	JP	Jikkyou Powerful Pro Yakyuu 2012 Update 1.05	1.05	2	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00064/PCSG00064_T9/7c512a93c552e59f/JP0101-PCSG00064_00-PAWAPURO2012B001-A0105-V0106-602829ca8d2cd42bb5d1433144779e57e28c441f-PE.pkg		52519536	a666fc0b55e3d1d7b84b6e702053db34d768af04d833f83edf875e14ac539a78
PCSG00099	JP	NextRev: Takken Shiken Update 1.01	1.01	3.15	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00099/PCSG00099_T0/a919496b777a4417/JP0007-PCSG00099_00-M5NR009TAKKNMAIN-A0101-V0100-3c4615f0777629c40eb9b5988422f9bcc17173e7-PE.pkg		89820800	c02376c7c1c8f6a8424ef9f36beb7eb5426dd37b7789657ae5e8902bb21c2077
PCSG00102	JP	AKB1/149: Love Election Update 1.01	1.01	1.81	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00102/PCSG00102_T0/12ce6de2838fd038/JP0700-PCSG00102_00-AKBRENAISSKDLG01-A0101-V0100-7da986521e6e281b4db0ca682631ca3d756c0681-PE.pkg		1808784	601f7be3af234d4821b9ed014f1fc85acb65620d8e5832bc7334ea262cc275e9
PCSG00109	JP	NextRev: Shakai Fukushishi Shiken Update 1.01	1.01	1.81	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00109/PCSG00109_T0/a0b4beffac9dff27/JP0007-PCSG00109_00-M5NR011SHAFKMAIN-A0101-V0100-0eb632093fe7cfb881f532da19212f0046dd4b55-PE.pkg		1165984	44a87bd16044f95eb932ad5001a554a7327c93f00658208046469813d7dc5ce5
PCSG00121	JP	NextRev: Kaigo Fukushishi Shiken Update 1.01	1.01	1.81	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00121/PCSG00121_T0/68bba0aa92a87297/JP0007-PCSG00121_00-M5NR012KAIGOMAIN-A0101-V0100-9d845e4e2dd18b1ad9d166250ac30768683606c1-PE.pkg		1179104	d253056e3084dcb78089509bcce233d94576a229af5fe987e9c39031ffd82360
PCSG00134	JP	Jikkyou Powerful Pro Yakyuu 2012 Ketteiban Update 1.02	1.02	2	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00134/PCSG00134_T1/0ae81798d27fc1cf/JP0101-PCSG00134_00-PAWAPURO2012B001-A0102-V0102-4308f35b4104ababc1ac0565f01a891e6442f9fa-PE.pkg		6728704	c7f1bbecde8c13adc80afe028ded3ef4f6317b1c81778008db5e446774826af1
PCSG00143	JP	NextRev: Chuushoukigyou Shindanshi Shiken 1 Update 1.01	1.01	2.01	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00143/PCSG00143_T0/f0e361720b028b7e/JP0007-PCSG00143_00-M5NR013CHUS1MAIN-A0101-V0100-b0a6577ca157a0c7fd2fe113835423dc991d0442-PE.pkg		2394480	0d236cffb1bc501453b5a53d8f0b7e39903417eaf37a810d3f2ff64089afb4dd
PCSG00144	JP	NextRev: Chuushoukigyou Shindanshi Shiken 2 Update 1.01	1.01	2.01	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00144/PCSG00144_T0/74e970d13137d80f/JP0007-PCSG00144_00-M5NR014CHUS2MAIN-A0101-V0100-dda17d52918b621276958ac97a070b6cc85c779a-PE.pkg		1170272	b8d778b1161d1ff61f19a919647d168dd9268f521fea4dfc847d020a74dba2ba
PCSG00151	JP	Pro Yakyuu Spirits 2013 Update 1.07	1.07	2.5	http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00151/PCSG00151_T9/658244d5fe47856d/JP0101-PCSG00151_00-PROBBSPIRITS2013-A0107-V0102-ba5f52c0d651bed11f28e6cf23bf84cf7643c6b4-PE.pkg		77711552	c4c4ebc2bb1a6a52e22cfdba60ba13d9700c5564a52153f2c8f7778b9b28e211
