Title ID	Region	Name	PKG direct link	Content ID	File Size
CUSA12004	US	PixelJunk™ Monsters 2 Demo	MISSING	UP4774-CUSA12004_00-PJM2DEMO00000000	
CUSA03823	JP	恋愛リベンジ 体験版	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA03823_00/1/f_6f07d18ba6f3cc1328b2add1c62609e6fc80b33d06373abc2a0dea8e3a9b0a12/f/JP0741-CUSA03823_00-LOVEREVENGEP4TRI.json	JP0741-CUSA03823_00-LOVEREVENGEP4TRI	
CUSA04410	JP	執事が姫を選ぶとき 体験版	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA04410_00/1/f_a24867046ee7fbb26a4a640fbb1aa78c8e8dbd57012091e2536a2e8a5a346b7f/f/JP0741-CUSA04410_00-SHITSUARUJPS4TRI.json	JP0741-CUSA04410_00-SHITSUARUJPS4TRI	
CUSA06785	JP	New Dangan Ronpa V3: Minna no Koroshiai Shin Gakki Trial Demo Version	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA06785_00/3/f_325b5d2e7d6252142969304014f93267ad33818b465ce9fe5b3cdc0a785fe103/f/JP0365-CUSA06785_00-TAIKENV3PS400000.json	JP0365-CUSA06785_00-TAIKENV3PS400000	
CUSA08972	JP	甘えかたは彼女なりに。 体験版	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA08972_00/2/f_2293f7f63f84f9b83a9a06b5a5eda3267479aa25324469b2c7a52a83952d08cd/f/JP0741-CUSA08972_00-AMANARIZZZZZZZZZ.json	JP0741-CUSA08972_00-AMANARIZZZZZZZZZ	
CUSA09000	JP	月に寄りそう乙女の作法～ひだまりの日々～体験版        	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA09000_00/2/f_5cb386f3a7d16eed1165f5a229f3421ae106736c8a22ad5527b5a4669f1118dd/f/JP0746-CUSA09000_00-TSUKIYORITRIAL00.json	JP0746-CUSA09000_00-TSUKIYORITRIAL00	
CUSA09201	JP	人気声優のつくりかた 体験版	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA09201_00/1/f_04bd75f536f7b37569bc0d0407e9a4f59f3fa726c171def114bd8eb50290ad25/f/JP0741-CUSA09201_00-NINKISEIYUPS4TRI.json	JP0741-CUSA09201_00-NINKISEIYUPS4TRI	
CUSA09476	JP	D.S.-Dal Segno- 体験版	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA09476_00/2/f_91d482c3ee680cdbe2dc7e1fe0c819048142ab0524e79662a4d4805aa2b13754/f/JP0741-CUSA09476_00-PS4DEMOAPP000001.json	JP0741-CUSA09476_00-PS4DEMOAPP000001	
CUSA09650	JP	千の刃濤、桃花染の皇姫 体験版	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA09650_00/2/f_da044e74188f9247b3cade8985a0121bcacffd991d16455f5f1d3b3b3a63dbfa/f/JP0741-CUSA09650_00-PS4DEMOAPP000001.json	JP0741-CUSA09650_00-PS4DEMOAPP000001	
CUSA10340	JP	Detroit: Become Human Demo	http://gs2.ww.prod.dl.playstation.net/gs2/appkgo/prod/CUSA10340_00/3/f_ff4ff789a9a06740d1b7c79028072739545a606fd493f5763e50a1aa645e96cb/f/JP9000-CUSA10340_00-DETROITDEMO00001.json	JP9000-CUSA10340_00-DETROITDEMO00001	
