Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
NPEA90123	EU	God of War: Ascension "Prison of the Damned" (DEMO)	http://ares.dl.playstation.net/cdn/EP9000/NPEA90123_00/MPywhSPFHOMXLUBokVgwaBFUZIlPPdkWWpjCuCdxxwNArQtTzjksszYPHuQbchAl.pkg	NOT REQUIRED	EP9000-NPEA90123_00-GOWASPDEMO000001			3222695904	
NPEA90085	EU	Killzone 3 (DEMO) (3D)	http://ares.dl.playstation.net/cdn/EP9000/NPEA90085_00/EANziGsxJKtgGOpxnBXkJEMDhgzfdxgNvpvoxyIVAuMkWqGoDJAnAztHEOFKDlPh.pkg	NOT REQUIRED	EP9000-NPEA90085_00-DKILLZONE3000001			1590091296	
NPEB90462	EU	METAL GEAR RISING:REVENGEANCE (DEMO)	http://zeus.dl.playstation.net/cdn/EP0101/NPEB90462_00/STiheVBxzGGioxwxLSXezPaNZgskhBIobqCOSHgCBLfmnutaXeHmVVXuHahHnGCr.pkg	47d2d71a384beca46506fb48ba665e1a	EP0101-NPEB90462_00-MGRDEMOLOCAL0001	2019-07-29 13:13:35		3605924688	
NPEB90559	EU	BLADESTORM: Nightmare (DEMO)	http://zeus.dl.playstation.net/cdn/EP4108/NPEB90559_00/EP4108-NPEB90559_00-BLADE0NIGHTDEMO0_bg_1_f993a215c497db3c6e681013059a7b8c4a18c2bf.pkg	ac862959cbe103e5bc821992dabf4b6f	EP4108-NPEB90559_00-BLADE0NIGHTDEMO0	2019-07-29 13:13:33		2159576896	
BCET70033	EU	Resistance 3 Online Beta	http://zeus.dl.playstation.net/cdn/EP9000/BCET70033_00/WOXPXytedvEaXvXitWaZlpGvQLfaWQhtUzVKQPnlliXMgkPnXqlLScEMvVdNQLHq.pkg	02a115db46a72cd54e886f785950c4b0	EP9000-BCET70033_00-RESISTANCE300001	2019-07-29 13:13:34		1484738672	
NPEA90101	EU	God of War Collection: Volume II (DEMO)	http://ares.dl.playstation.net/cdn/EP9000/NPEA90101_00/yMvuBJcsvqgqPZetIHftyTzvPvKzuAcuXWSfPZFARfYHDsFdzmqneYPktgZIXYaY.pkg	NOT REQUIRED	EP9000-NPEA90101_00-GOWCOLLVOLIIDEMO			814922576	
NPEB90332	EU	LEGO Pirates of the Caribbean The Video Game (DEMO)	http://zeus.dl.playstation.net/cdn/EP1006/NPEB90332_00/abavyeCvjIJtxqdwHzEDGCtdtCjZdKaepuTCnxyxjCbZFhETqHItsSpeRkAjOmcO.pkg	b76d2fde3de21580c47fb9e12988c215	EP1006-NPEB90332_00-LEGOPIRATESDEMO1	2019-07-29 13:13:34		1125452624	
NPEB90269	EU	VANQUISH OFFICIAL (DEMO) - VELOCITY ATTACK	http://ares.dl.playstation.net/cdn/EP0177/NPEB90269_00/MtGRmXljAh4vfebnHWIALKs1Nj9ir2kF7VPjHsEdWgRikPTTFgutCGM9YU8s6pSj.pkg	NOT REQUIRED	EP0177-NPEB90269_00-TRIAL010000000EU			744498272	
BCET70015	EU	Uncharted 2: Among Thieves Beta	http://zeus.dl.playstation.net/cdn/EP9000/BCET70015_00/B6I2YRGLeN4X5I10pfC10LEwIO1iNxryy6uABBUY0dFE1bQpQrCw5bGQFlaHSySyW3f2sEEkluwiqn9h0JXdS8OixbBHex6nqfMsF.pkg	6413f1334f906402b11a538f8c7e8673	EP9000-BCET70015_00-UNCHARTED2PUB001	2019-07-29 13:13:32		1333672432	
BCET70016	EU	MAG Beta	http://zeus.dl.playstation.net/cdn/EP9000/BCET70016_00/HPoUAIQhWDTGFbKPN5t6falNGxDPiavjcphClP820xGfJrxocdpd1EAx5YFLTMmALtxqRwudvmmAKVfxKYBYxc8WAPRlyd5SHo64f.pkg	de74a9b06b60db902c6989fb91862e9c	EP9000-BCET70016_00-GBETAMAGPU000001	2019-07-29 13:13:35		38259376	
NPEB90184	EU	F.E.A.R. 2: Project Origin (DEMO) 2	http://zeus.dl.playstation.net/cdn/EP1018/NPEB90184_00/1gEk7oLaJG31wD0tWgYJWd6sgjhWsI97TIum8s2VYQdmLaKLp5nIpof6mdL2F3W7oiEiCmY6CAKVhNKnWGCHqBW7u9jETeeTiwIE0.pkg	NOT REQUIRED	EP1018-NPEB90184_00-FEAR2SPDEMO20000			616052160	
NPEA90033	EU	MOTORSTORM: PACIFIC RIFT (DEMO) 2.0	http://zeus.dl.playstation.net/cdn/EP9000/NPEA90033_00/J0MOSCPTs4nMmWv5GanWN3Q3DmdKao7k3eaNBKqoffWnL00fB8wDX3XDVsS1u1tSjd575CaBIWGTSsbeyUSXAcrFDHS3dGOVFPUG9.pkg	NOT REQUIRED	EP9000-NPEA90033_00-DMOTORSTOR000002			667623888	
NPEB90116	EU	METAL GEAR SOLID 4 (DEMO) VERSION	http://zeus.dl.playstation.net/cdn/EP0101/NPEB90116_00/PvcOtortBey62KMqvp85TciNkcfUvtx7QoP99dvntgOIQMbJ9kPbbhGjKq3On8DHTN5DlXwl24puSX0klVDPy9e5Jbkvlmm4vQYyf.pkg	NOT REQUIRED	EP0101-NPEB90116_00-MGS4DEMOVERSION0			1458597952	
NPEB90006	EU	THE DARKNESS (DEMO)	http://zeus.dl.playstation.net/cdn/EP1001/NPEB90006_00/PY1uIMFcTECRBqCmydXVjg1NcY2I2sduTPnPvuCW70CeeniebydOCjuqbk9f4Jym878qMoC7nTqPaKEFMoqW8hX5TXHIbDTsIUNU7.pkg	9da02c6a1172028004ae69c16ecd77d0	EP1001-NPEB90006_00-THEDARKNESSDEMO0	2019-07-29 13:13:33		1513069488	
NPUA70045	US	LittleBigPlanet™ Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUA70045_00/nyHPcRea86ACLpAoiWFQpWDXrtTeCxNgCcE3V4Qr4Y1oKs2fClt9SQvWWxT6YVw3JigDe7hQC6USiDJ9u11aRPQxANXLM6M86SYvD.pkg	NOT REQUIRED	UP9000-NPUA70045_00-DLITTLEBIG000001	2019-04-03 12:16:36		1122232512	
