Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
NPUA81353	US	MLB The Show 16	http://zeus.dl.playstation.net/cdn/UP9000/NPUA81353_00/UP9000-NPUA81353_00-MLB16THESHOWHDDM_bg_1_2ee045c927f48b3b0bb30e604bceaec892b7b253_00.pkg	e646019e9f2a8203753ad02cee31174a	UP9000-NPUA81353_00-MLB16THESHOWHDDM			4687500000	
NPUB30096	US	Hard Corps: Uprising Trial	http://ares.dl.playstation.net/cdn/UP0101/NPUB30096_00/wWvCPVqgTcfMwsWMAHnqTlwfAeoXKWsDBCdLBLdwWqJXaxuNCFXEUxhTdjCFbknFXftihcaIOipaKzgJciYWOjsUfKMycjDATPafB.pkg	MISSING	UP0101-NPUB30096_00-HCUPRISING00DEMO			1419655968	
NPUB30617	US	Tales from Space: Mutant Blobs Attack (Playable Demo)	http://zeus.dl.playstation.net/cdn/UP2045/NPUB30617_00/vhDATHnRuNCOCJMtOBdlxSDJMdekOHnAlHlsXKVhKaSBpBohfhFBRIlTDIvgtpoHPamZdCTQwVBAmpzYIpUVDTnVGrlctEooChqAd.pkg	MISSING	UP2045-NPUB30617_00-MUTANTBLOBSATK01			254903104	
NPUB30783	US	Pure Chess Trial	http://zeus.dl.playstation.net/cdn/UP2070/NPUB30783_00/OrERKLefWfqDovNNxvpTSfNFAOSwOPyMefiawaIKVObejKheUWmRJjUFpltNPHsL.pkg	MISSING	UP2070-NPUB30783_00-UPURECHESS000001			382584656	
NPUB30834	US	Anomaly Warzone Earth Trial	http://zeus.dl.playstation.net/cdn/UP4361/NPUB30834_00/glzSbHKmgcFXFroeBqPrUFfJTdetbXeYlzbQSOZrRskHzJuIxekcWOmaBDjNZzhKzaAwUsGKdQjuJRnBYksOFHVFheNrfFKnkxYJT.pkg	MISSING	UP4361-NPUB30834_00-ANOMALYTRIAL0001			628352976	
NPUB30876	US	AlienSpidyTrial	http://zeus.dl.playstation.net/cdn/UP2060/NPUB30876_00/udNMxBHvsBqqaZACXRsymGugYJEEWExHYaZGJqDyUKviEKloompVzXVKqbwwLHhr.pkg	MISSING	UP2060-NPUB30876_00-ALIENSPIDYTRIAL0			1608000576	
NPUB30878	US	A-men Trial	http://zeus.dl.playstation.net/cdn/UP0700/NPUB30878_00/BoxwshpNhrtViuhFZJWorkTkObDSysPypeFSYkmKWdVANTDCZYIGyIaaIeQMpDqo.pkg	MISSING	UP0700-NPUB30878_00-GAMEPURCHASE0001			298575696	
NPUB31226	US	Hakuoki: Stories of the Shinsengumi	http://zeus.dl.playstation.net/cdn/UP1024/NPUB31226_00/FSMltcNhNKLAnVZPgHYhDVSblOHNzinzRyioSVFOefFmoayGadXstdLXJdYmQbJx.pkg	b64267b7cd77ca8c659d476b052ba7e2	UP1024-NPUB31226_00-HDDGAME000000001			8546585552	
NPUB31308	US	Cabelas Big Game Hunter - Pro Hunts	http://zeus.dl.playstation.net/cdn/UP0002/NPUB31308_00/BFkJQIJMhJDKmAHMSgJvqAowmbmzBKNdVKKGWgziXiZlTAPOxBmPhQdRjmzpudQe.pkg	fbf9cbcddf82cf9fde7ff9f597e0d5fb	UP0002-NPUB31308_00-CABALLSTAR2013FG			2975204368	
NPUB31367	US	Tiny Brains (Trial)	http://zeus.dl.playstation.net/cdn/UP4040/NPUB31367_00/zVKJbwAncaGUtijWzNYntWatBaRRFuuDEOAxtlTUsPaKxtfFijmHGKFwZdcbTsgs.pkg	MISSING	UP4040-NPUB31367_00-TINYBRAINSGAME01			1281485280	
NPUB31416	US	Rambo The Video Game	http://zeus.dl.playstation.net/cdn/UP4060/NPUB31416_00/oIKKpmiVaTlPvpOLiDSCZLZUQYbZEzDoVQJjhAXmQoVUDXOPtYazyLJamQYKSwkw.pkg	ddcb39c40541c1cfbb12f7b8ea642c31	UP4060-NPUB31416_00-RAMBOTHEGAME0001			2392644864	
NPUB31427	US	Ranko Tsukigime's Longest Day	http://zeus.dl.playstation.net/cdn/UP0700/NPUB31427_00/oGAMlCvOkujWVaSTgsTldNidtfcoRlhdKBnrFFUFVkhZbFOVAHGMIFZWskMgvBeC.pkg	bccd06f3fab3d9bd58380860ec0ed8cc	UP0700-NPUB31427_00-RANKOTSUKIGIMEHG			3422135472	
