Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
NPEB00080	EU	3 on 3 NHL Arcade (Trial)	http://zeus.dl.playstation.net/cdn/EP0006/NPEB00080_00/A7D6APEPmsoH3FhqG7BcRI23awIHofjdL0krkqXWdHULkLmX3HHnnRiM3ndO7JJJB4gwI7kbcPP9eUohCvSgRyQw9YntB7xcayLUm.pkg?product=0085&country=za	MISSING	EP0006-NPEB00080_00-3ON3NHLARCADE001			196642928	
NPUA70246	US	PlayStation® All-Stars Battle Royale™ Beta	http://zeus.dl.playstation.net/cdn/UP9000/NPUA70246_00/yBcorGHrfxxLlmldPSiitPkQbrgyyMgWZgrrwIRFvdwOneNRvtCIBQLCovEbSTlAJteVNNZgyOlSRyKUKgtPZBilaxTgdlmUtErcd.pkg	NOT REQUIRED	UP9000-NPUA70246_00-PABRPB5PS3000000			1110008528	
NPUB90777	US	Tom Clancy's Ghost Recon: Future Soldier™ Beta	http://zeus.dl.playstation.net/cdn/UP0001/NPUB90777_00/VQfwvzbyYHPHesZQfXDOhIWKbecuypHFOVfdZvexquzvUEbaDUBMpdZFTEmVxtSVreAqcKXwjKpaUwmFMFPOhdIHvoRrFnesdyKFU.pkg	NOT REQUIRED	UP0001-NPUB90777_00-BETASCEA00000150			1706656800	
NPUA70136	US	Starhawk Public Beta	http://zeus.dl.playstation.net/cdn/UP9000/NPUA70136_00/RZlaPquoatBmqmDgzRpjQYcswZjmdLrykkifSoaIlBGsWaUwoudgSXmAhSsERIkdGQjadjLCpGPqQDwzqHTsHwrAtWzlExraeLnQB.pkg	NOT REQUIRED	UP9000-NPUA70136_00-GBETASTARH000001			1363831328	
NPJA90118	JP	ラチェット＆クランク FUTURE 2 クランク体験版 	http://zeus.dl.playstation.net/cdn/JP9000/NPJA90118_00/6SF53WrbNpFaRPQPsEU9cuHy2afnLfuoqu9emU7aY68cyOJuanjrT6AtnA9Tt1cMDwOCnAgau3aykUFRWqsC0vQnwsuT2RvaUgGHp.pkg	NOT REQUIRED	JP9000-NPJA90118_00-DRATCHETAN000001			2294741440	
NPEA90122	EU	Demo de The Last of Us™	http://zeus.dl.playstation.net/cdn/EP9000/NPEA90122_00/CEVKSiNkFhoFqdfnnyLaHiRlqMGuFVdWPtFSevyjQZJxYXooiwmPgtxrlAsEHEJD.pkg	NOT REQUIRED	EP9000-NPEA90122_00-THELASTOFUSDEM01			137601872	
NPEA00020	EU	BLASTFACTORDEMO1	http://zeus.dl.playstation.net/cdn/EP9000/NPEA00020_00/37StdRW7FMPBQfuXFkj136pRFyeddEluaywCkelIOYGuMmtiAYaDfUqwAQELNt746iJXlyWSTjC6nOyCt6ldkv6rpWcwVhOQ0SpeO.pkg	NOT REQUIRED	EP9000-NPEA00020_00-BLASTFACTORDEMO1			142776640	
NPEA90051	EU	Great Clock Demo	http://zeus.dl.playstation.net/cdn/EP9000/NPEA90051_00/nYg35N5ks9cdgmMY6liQttPIuFioVms7dmDNOp24uLN25H4xAiU3ULwrQybBpoqFxHfpxccefQyyWSTanouoQEW8GQuuphy3l2iWP.pkg	NOT REQUIRED	EP9000-NPEA90051_00-DRATCHETAN000001			2528689616	
NPUA70085	US	Ratchet & Clank® Future: A Crack in Time Clank Demo	http://zeus.dl.playstation.net/cdn/UP9000/NPUA70085_00/RwjY3BBr6LQxIcTx1MqSed0FYhFfPH2e2g3UDdc1infN4wdEkIr65QkDBg6vc68hoDe2creMOn5tj5ujaFLdCC1i6BAaVyg9JKPJF.pkg	38c14e305d7a48986331a833ed6a09f5	UP9000-NPUA70085_00-DRATCHETAN000001			2520432528	
BCET70015	EU	UNCHARTED 2: Among Thieves™ [Public Multiplayer Demo]	MISSING	NOT REQUIRED	EP9000-BCET70015_00-UNCHARTED2CBETA0			0	
