Title ID	Region	Name	PKG direct link	RAP	Content ID	Last Modification Date	Download .RAP file	File Size	SHA256
BCUS98174	US	The Last of Us - Ellie Avatar	http://zeus.dl.playstation.net/cdn/UP9000/BCUS98174_00/YdUGgXdOuQhFivSAxtPgLIULOLOuRMHcCgpiVwMkuuyrPZfwQJByNtUyYHJNcZvOulfgHJUyWsBxHhGbYBhelIuIHjPenKAvWIAyr.pkg	4508889D03823E0C1CA97023E8B4F765	UP9000-BCUS98174_00-UALASTOFUSELLIE0	2017-12-22 23:11:23		108480	
BCUS98174	US	The Last of Us - Joel Avatar	http://zeus.dl.playstation.net/cdn/UP9000/BCUS98174_00/FRQzpYGysinztlMLtrOLguosltnbAVvQPBLnZAjqOPxhOvoAKgAtXMRWvruVjOEtLwaCjxfJNRdQZtmSSaxqZGRDvKXnCoNhMJRAh.pkg	620C9512972629100AB15747348A4FA5	UP9000-BCUS98174_00-UALASTOFUSJOEL00	2017-12-22 23:11:23		123952	
BCUS98282	US	Ratchet and Clank Collection 10th Anniversary Avatar	http://zeus.dl.playstation.net/cdn/UP9000/BCUS98282_00/dkVcMgbOibbJPLHAAhqUdKELbORbYvvugxBIrfnfPHhSfJyvxPCCOQMpGTmogFNBiknOcxcQeqOaPLNwbCfmNsGLLGFReuPvDyuVJ.pkg	91D2185A2439FAC56E5051867A49A531	UP9000-BCUS98282_00-AVARCCOLLECT10AN	2017-12-22 23:11:23		102400	
BLUS30270	US	Resident Evil® 5 Tricell Logo Avatar	http://zeus.dl.playstation.net/cdn/UP0102/BLUS30270_00/TGfeJQOjYtykONUVtPTrGiqnJXZyeCpTRnQMUEpfXRBFiwJhlrNmQlSllSqYKlcVgqDbetegeSlbLieGNPEouKKKpyAefRWRNtWrN.pkg	7E7B5B8F5C8E59C972EA6110F2A9D024	UP0102-BLUS30270_00-AVARE5TRICELLOGO	2018-02-11 23:16:43		102400	
BLUS30836	US	Rayman® Origins Rayman Avatar	http://zeus.dl.playstation.net/cdn/UP0001/BLUS30836_00/QnbQzpSPQvuvdsZKuBZEmrdAwAHJhkjbBKtlOXXchKxHMDrNOiKnNgNztqGVfcaFmqgCoDlDLTtrFXdkduBWcAUWyKKxQmpsxnEmZ.pkg	MISSING	UP0001-BLUS30836_00-AVARAYORAYMAN000	2018-02-11 23:16:43		102400	
NPUB30114	US	Mega Man® 10 Bass (Running with Buster) Avatar	http://zeus.dl.playstation.net/cdn/UP0102/NPUB30114_00/t3mxOGX1s97E1Kb5vuIUski2genDVhV3jlPjKD2eXxldOFjmEtnAVFh6NLQvNSv43hdeUAGAdrW4ASYB6NrsFnKVWXYBTg9pxdT4b.pkg	92314D8A1971CFC4ADD0F2EC504538F1	UP0102-NPUB30114_00-AVAMM10BASSRUNNI	2018-02-11 23:16:43		102400	
NPUB30580	US	House of the Dead 3 - Avatar	http://zeus.dl.playstation.net/cdn/UP0177/NPUB30580_00/sfxdaxMrmGNqyJzBFjdNmxSZEmljEsbmsZrocTHnrxdUsqEzMkoSQnyclVbplIPzCAuVwsTWLRFwcehNTajrWNGCHRCOrMShjdFEe.pkg	3A5C7FF224227DB8FB4EE55BDEFE2649	UP0177-NPUB30580_00-AVAHOTD3ZOMBIE02	2017-12-22 23:11:23		114192	
NPUB30581	US	Metal Sonic 1 Avatar	http://zeus.dl.playstation.net/cdn/UP0177/NPUB30581_00/oGHpOSNhqzEFOnSnFcGIjdEwawGHaQKCkxsTGlCOzPyKQCNzbsPbcEMhIbxyWmTbrDUNrAEZKGBxgtoywNwwmCazbflvEZbMwuuox.pkg	66F0CF3B43F4CC670A6051037AF831AA	UP0177-NPUB30581_00-AVASONIC4EP2MTS1	2017-12-22 23:11:23		129472	
NPUB30581	US	Metal Sonic 2 Avatar	http://zeus.dl.playstation.net/cdn/UP0177/NPUB30581_00/uuEsCvFtdXtlTtuFLQAgNrmLhogEQQjNGrtUIiWFFQlbiyuTvQQsCTelkkXXMqfiyQlyPGcwshenAdOCalfRxpTwFyjTIKSqRgJxC.pkg	8CFC73B2CA98A2028A00EED600F95777	UP0177-NPUB30581_00-AVASONIC4EP2MTS2	2017-12-22 23:11:23		102400	
NPUB30581	US	Sonic 1 Avatar	http://zeus.dl.playstation.net/cdn/UP0177/NPUB30581_00/uVzHoFKjOyWvxtotsYTJDpZBEwzQnLeyeZLoZOdrODGciBDRjNENiPFBhfObdkrQdhXqxoyEdbAMgZoXuBsbGYrRtjrYtXyUmVhXr.pkg	FEAF1DFA43C1F856DCD4BEA2E0728955	UP0177-NPUB30581_00-AVASONIC4EP2SC01	2017-12-22 23:11:23		126720	
NPUB30581	US	Sonic 2 Avatar	http://zeus.dl.playstation.net/cdn/UP0177/NPUB30581_00/eBiWpZSrMfOGEJkdfgmxHULKsVCZGvxjNUzQHGpISfuPcKPApmrnaSAJmVUYmwSrVHKDHwNiZtlMUZcWnAlXpWDLVEXAOQIcaiUoo.pkg	6972A215479D4C10F412047EA69257A2	UP0177-NPUB30581_00-AVASONIC4EP2SC02	2017-12-22 23:11:23		102400	
NPUB30581	US	Sonic & Tails Avatar	http://zeus.dl.playstation.net/cdn/UP0177/NPUB30581_00/fUIABevBvNUIZOGwoStJlLoItfmINpSgLvhUdlqiHrGxkItLDvnNzZEWClSSHBcwYaOKlppqsaaDrfSOZgOUKiaZdWNfPxgNcjSNR.pkg	FB80C07227CD23C4E30C1F160DD346E3	UP0177-NPUB30581_00-AVASONIC4EP2SCTL	2017-12-22 23:11:23		142192	
NPUB30581	US	Tails 1 Avatar	http://zeus.dl.playstation.net/cdn/UP0177/NPUB30581_00/gZnywHoEDcvpDkELOTqgFBJrbMJJYhUlutjIdQiuKvHczgcJdfnnhVjsxWHdCYuOCfsNtfQYolMCobqUrbTgcrjfjSBPVbOCDKYkf.pkg	46D9FA7E6F7445E6090B9DBBC62B73B7	UP0177-NPUB30581_00-AVASONIC4EP2TL01	2017-12-22 23:11:23		123168	
NPUB30581	US	Tails 2 Avatar	http://zeus.dl.playstation.net/cdn/UP0177/NPUB30581_00/IHyEdFzObPnbJlmfRYPfAodMxWvcBigrLdxSOnEyHxysMTDQdIRQntKTCJrWTSDCmZIsnzgLwmVSqfwWCtewhFmeUBTuSdgjywCJk.pkg	A99680628AB4489FEAF4D1222FFCDE6D	UP0177-NPUB30581_00-AVASONIC4EP2TL02	2017-12-22 23:11:23		102400	
NPUB30625	US	Virtua Fighter 5 - Final Showdown - Avatar	http://zeus.dl.playstation.net/cdn/UP0177/NPUB30625_00/LjktBGFgSweZsNeoBrmcqxWZuePBiaKDLvYFMUmrbAIYHdxJbZwHXBXVjRDCUWSBwAvghuMOkePFYDwmmHwKKCkQVEfavJKpfwwWe.pkg	10DD74BE7720FE504A0C4C4026BE03E3	UP0177-NPUB30625_00-AVAVF5VANESSA000	2017-12-22 23:11:23		110096	
NPUO00007	US	PlayStation® 15th Anniversary Avatar	http://zeus.dl.playstation.net/cdn/UP9000/NPUO00007_00/rKJEHnuP87JsEeTyTuI4AYFCDs0yO6pl5Dee04iBpRdrCsHF7mBKoA6H69Ik2ol6x4Tec9W3OheFhh2ubdRkw6duQ1odbckSqkLhS.pkg	11A98FBCE091EE64D86B084DC16DAD4C	UP9000-NPUO00007_00-AVAPS15ANVSYCOLR	2018-02-11 23:16:43		102400	
NPUO00020	US	PlayStation®Plus Squirrel Avatar	http://zeus.dl.playstation.net/cdn/UT0016/NPUO00020_00/FwFPrEJFeFMVGXDBrqftAQAFFGaUezRBVEOmNsixDcdjmJoQxnrBwbPbFguJJXGwRegTFRvAuVsjQNAwIaRsFbcYnOXAXrzvuYCDR.pkg	B5406461BBF94747F09779012D99D425	UT0016-NPUO00020_00-AVAPLUSSQUIRREL0	2018-02-11 23:16:43		102400	
ULUS10091	US	Mega Man Powered Up® Proto Man Avatar	http://zeus.dl.playstation.net/cdn/UP0102/ULUS10091_00/BCeHgrnmBBMOhRfJHiVvYRoDajwtTtEvpnVutSWfZmXGwiorhiDPNlXeyEvjqOHJYCLieyRWhvWITCtXltGDPhEYlpBVhIFGvsZfe.pkg	4899688FA40C3BC9D45104EB61F95DC6	UP0102-ULUS10091_00-AVAMMPUPROTOMAN0	2018-02-11 23:16:43		102400	
ULUS10091	US	Mega Man Powered Up® Mega Man Avatar	http://zeus.dl.playstation.net/cdn/UP0102/ULUS10091_00/quxJNKMglRxQXmZgAsVVPwkQcEJnTWbazRJavNuZwnuxRJJkxyKGTVCtuWeylMHdzgJadDyBPCfeJrWqBRsDiSDCqabdMfHFtztHh.pkg	6F655135E4D54C7647024051031D7A65	UP0102-ULUS10091_00-AVAMMPUMEGAMAN00	2018-02-11 23:16:43		102400	
BCES00141	EU	Little Big Planet - DaVinci Avatar 1	http://zeus.dl.playstation.net/cdn/EP9000/BCES00141_00/uDbWNzpfEQiNZjOnTYllzPIRwwykzJFDbPolnQTDeWZwXFMpvPSzUKZfQBeTEATC.pkg	291666c97be2c639fad1301c75a8d232	EP9000-BCES00141_00-AVALBP2DAVINCI02	2017-12-22 23:11:23		105168	
BCES00141	EU	Little Big Planet - DaVinci Avatar 2	http://zeus.dl.playstation.net/cdn/EP9000/BCES00141_00/nWQmKTuttMIfLKfEiIUcKlqNnmoQGQSZCgtufeIrffmJUPSfEDvdSKqloFSnucci.pkg	9367b27e60de2ab6ff9b135903c0dc8b	EP9000-BCES00141_00-AVALBP2DAVINCI01	2017-12-22 23:11:23		102400	
BCES00141	EU	Little Big Planet - LBP2 Avatar 1	http://zeus.dl.playstation.net/cdn/EP9000/BCES00141_00/thOopCTBgEOzeKogRfJnJMFCXBpuRfTkyqcFNRrCEIwXRLrrtUGGDaChIvVXQckU.pkg	1c7f0f8755ce0186bc1f765f8a1880db	EP9000-BCES00141_00-AVALBP2SACKBOY01	2017-12-22 23:11:23		102400	
BCES00141	EU	Little Big Planet - LBP2 Avatar 2	http://zeus.dl.playstation.net/cdn/EP9000/BCES00141_00/mTVSHOsXiDLrwUXixjhTRSuVswneCQmfBVfPOrKZLvxCkMVGkJVGVKeiukeNWyHc.pkg	4fdce2a3aea364ec6aef82db4ff23ba4	EP9000-BCES00141_00-AVALBP2SACKBOY02	2017-12-22 23:11:23		102400	
BCES00141	EU	Little Big Planet - Sackbot Avatar	http://zeus.dl.playstation.net/cdn/EP9000/BCES00141_00/jjkxSaCDTBcHeqXeZweKqpKMrZHGvBpjgOksZtWpeUaygkjYmrrCSoWGNAodgBMs.pkg	1054e7c3d5a89cc5a8ee44bb58453a50	EP9000-BCES00141_00-AVALBP2SACKBOT01	2017-12-22 23:11:23		102400	
